market,trxtype,message,retries,is10digit,ecp
TLG,ACT,IMSHSS: DN Already Exists,0,Y,CLEAN_RESEND
JSP,ACT,IMSHSS: DN Already Exists,0,Y,CLEAN_RESEND
TLG,REST,CTS: Check conversation log for failure reason,0,Y,RSA_HANDLE
TLG,REST,"Voice-processor internal error (I/O error, UR vali",0,Y,RESEND
TLG,REST,Error: User unknown,0,Y,RSA_HANDLE
TLG,SUS,Error: User unknown,0,Y,HANDLE
TLG,REST,"Registration failed, contact RSP support",0,Y,HANDLE
TLG,REST,OHP GSM: Subscriber already exists,0,Y,RESEND
TLG,REST,IMSHSS: Invalid Attribute Value,0,Y,RSA_HANDLE
TLG,REST,AOTA:Server Error,0,Y,RESEND
TLG,REST,AOTA:Server Error,1,Y,HANDLE
TLG,REST,No error code/string found for <BBPM> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HC1B> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HC2B> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HC3B> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HC4B> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HG1B> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HG2B> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HG3B> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HG4B> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <ENAC> Logical Dvc,0,Y,HANDLE
TLG,REST,No error code/string found for <RSP1> Logical Dvc,0,Y,HANDLE
TLG,REST,No error code/string found for <HN3B> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HS3P> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <AUDI> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <AUDI> Logical Dvc,1,Y,RSA_HANDLE
TLG,REST,No error code/string found for <STAR> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <BM1> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HW4B> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HW4P> Logical Dvc,0,Y,RESEND
TLG,CCD,No error code/string found for <COM1> Logical Dvc,0,Y,CLEAN_RESEND
TLG,CCD,No error code/string found for <COM1> Logical Dvc,1,Y,RSA_HANDLE
TLG,REST,No error code/string found for <COM1> Logical Dvc,0,Y,RSA_HANDLE
TLG,CCD,No error code/string found for <VCTS> Logical Dvc,0,Y,CLEAN_RESEND
TLG,CCD,No error code/string found for <VCTS> Logical Dvc,1,Y,RSA_HANDLE
TLG,REST,No error code/string found for <VCTS> Logical Dvc,0,Y,RSA_HANDLE
TLG,REST,No error code/string found for <NSM1> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <NSM2> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <AOTA> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HX1B> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <OTAO> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <OTAE> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <CLS> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HW1P> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <XBO1> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HN2P> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HC1P> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HC3B> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <ALUO> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <ALUE> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <ALUO> Logical Dvc,1,Y,RSA_HANDLE
TLG,REST,No error code/string found for <ALUE> Logical Dvc,1,Y,RSA_HANDLE
TLG,REST,No error code/string found for <HP1P> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HC1P> Logical Dvc,0,Y,RESEND
TLG,REST,Error : ConfirmOrder refused by server,0,Y,HANDLE
TLG,REST,No error code/string found for <HC2P> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <GPT> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HN1P> Logical Dvc,0,Y,RESEND
